Dataline	qPCRFile	Well	Well Position	Sample Name	Target Name	CT	Ct Mean	Ct SD	CopyN	LogCopyN	CT_jmp	HighestSTD	qPCRefficiency	rsquare	slope	DroppedDatapoints	StdEquation	SampleNumber	Category	Cat.Target	TechnicalRep	BioRep	RxnLogCopy	 InputSampleVolume(uL) 	ElutionVolume(uL)	MilkEquivalentDNAuL	CopiesperuLDNA	CopiespermLofMilk	LogCopiespermLofMilk
35	2019-01-15BovineUXT-HostDepletion	53	E5	44-NTC-2.B3	BovineUXT	30.537	30.658	0.17				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	44	NTC	NTC.Bovine	2	B3	3.139770194	400	100	4	689.8270145	172456.7536	5.236680207
36	2019-01-15BovineUXT-HostDepletion	54	E6	44-NTC-2.B3	BovineUXT	30.778	30.658	0.17				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	44	NTC	NTC.Bovine	2	B3	3.072317689	400	100	4	590.5921811	147648.0453	5.169227702
37	2019-01-15BovineUXT-HostDepletion	65	F5	45-NTC-3.B3	BovineUXT	30.379	30.938	0.791				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	45	NTC	NTC.Bovine	3	B3	3.18415259	400	100	4	764.0514332	191012.8583	5.281062603
38	2019-01-15BovineUXT-HostDepletion	66	F6	45-NTC-3.B3	BovineUXT	31.498	30.938	0.791				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	45	NTC	NTC.Bovine	3	B3	2.870792348	400	100	4	371.3319787	92832.99469	4.967702361
39	2019-01-15BovineUXT-HostDepletion	77	G5	47-NEB-2.B3	BovineUXT	33.313	33.363	0.07				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	47	NEB	NEB.Bovine	2	B3	2.362461597	200	50	4	115.1944621	28798.61553	4.45937161
40	2019-01-15BovineUXT-HostDepletion	78	G6	47-NEB-2.B3	BovineUXT	33.412	33.363	0.07				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	47	NEB	NEB.Bovine	2	B3	2.334710381	200	50	4	108.0638373	27015.95932	4.431620394
41	2019-01-15BovineUXT-HostDepletion	89	H5	48-NEB-3.B3	BovineUXT	33.028	33.121	0.132				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	48	NEB	NEB.Bovine	3	B3	2.442356641	200	50	4	138.4607391	34615.18478	4.539266654
42	2019-01-15BovineUXT-HostDepletion	90	H6	48-NEB-3.B3	BovineUXT	33.214	33.121	0.132				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	48	NEB	NEB.Bovine	3	B3	2.390228837	200	50	4	122.8001342	30700.03355	4.48713885
43	2019-01-15BovineUXT-HostDepletion	27	C3	4-NEB-1.B1	BovineUXT	32.975	32.998	0.032				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	4	NEB	NEB.Bovine	1	B1	2.457079378	200	50	4	143.2350759	35808.76898	4.553989391
44	2019-01-15BovineUXT-HostDepletion	28	C4	4-NEB-1.B1	BovineUXT	33.02	32.998	0.032				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	4	NEB	NEB.Bovine	1	B1	2.444509182	200	50	4	139.1487105	34787.17764	4.541419195
45	2019-01-15BovineUXT-HostDepletion	7	A7	56-20uM-2.B3	BovineUXT	36.981	36.588	0.555				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	56	20uM	PMA.Bovine	2	B3	1.335423034	400	100	4	10.82413096	2706.03274	3.432333047
46	2019-01-15BovineUXT-HostDepletion	8	A8	56-20uM-2.B3	BovineUXT	36.195	36.588	0.555				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	56	20uM	PMA.Bovine	2	B3	1.555346455	400	100	4	17.9604188	4490.1047	3.652256468
47	2019-01-15BovineUXT-HostDepletion	19	B7	61-20uM-3.B3	BovineUXT	35.348	35.44	0.13				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	61	20uM	PMA.Bovine	3	B3	1.792488065	400	100	4	31.00688004	7751.72001	3.889398078
48	2019-01-15BovineUXT-HostDepletion	20	B8	61-20uM-3.B3	BovineUXT	35.532	35.44	0.13				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	61	20uM	PMA.Bovine	3	B3	1.740948871	400	100	4	27.5371427	6884.285676	3.837858884
49	2019-01-15BovineUXT-HostDepletion	39	D3	6-NEB-3.B1	BovineUXT	32.395	32.441	0.066				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	6	NEB	NEB.Bovine	3	B1	2.619690737	200	50	4	208.2863174	52071.57936	4.71660075
50	2019-01-15BovineUXT-HostDepletion	40	D4	6-NEB-3.B1	BovineUXT	32.488	32.441	0.066				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	6	NEB	NEB.Bovine	3	B1	2.59352268	200	50	4	196.1068141	49026.70352	4.690432693
51	2019-01-15BovineUXT-HostDepletion	31	C7	70-Qia-1.B1	BovineUXT	34.239	34.073	0.235				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	70	Qia	Qia.Bovine	1	B1	2.10320597	1000	50	20	63.41266053	3170.633027	3.501145979
52	2019-01-15BovineUXT-HostDepletion	32	C8	70-Qia-1.B1	BovineUXT	33.907	34.073	0.235				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	70	Qia	Qia.Bovine	1	B1	2.196190385	1000	50	20	78.5525683	3927.628415	3.594130393
53	2019-01-15BovineUXT-HostDepletion	43	D7	71-Qia-2.B1	BovineUXT	33.674	33.703	0.041				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	71	Qia	Qia.Bovine	2	B1	2.261329576	1000	50	20	91.26401698	4563.200849	3.659269585
54	2019-01-15BovineUXT-HostDepletion	44	D8	71-Qia-2.B1	BovineUXT	33.732	33.703	0.041				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	71	Qia	Qia.Bovine	2	B1	2.245096322	1000	50	20	87.91567724	4395.783862	3.64303633
55	2019-01-15BovineUXT-HostDepletion	55	E7	74-Qia-5.B2	BovineUXT	35.673	35.544	0.183				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	74	Qia	Qia.Bovine	5	B2	1.701476724	1000	50	20	25.14471561	1257.23578	3.099416732
56	2019-01-15BovineUXT-HostDepletion	56	E8	74-Qia-5.B2	BovineUXT	35.415	35.544	0.183				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	74	Qia	Qia.Bovine	5	B2	1.773970874	1000	50	20	29.71261518	1485.630759	3.171910883
57	2019-01-15BovineUXT-HostDepletion	67	F7	75-Qia-6.B2	BovineUXT	35.018	34.978	0.058				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	75	Qia	Qia.Bovine	6	B2	1.884935145	1000	50	20	38.36234523	1918.117262	3.282875154
58	2019-01-15BovineUXT-HostDepletion	68	F8	75-Qia-6.B2	BovineUXT	34.937	34.978	0.058				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	75	Qia	Qia.Bovine	6	B2	1.907722165	1000	50	20	40.42892269	2021.446135	3.305662173
59	2019-01-15BovineUXT-HostDepletion	79	G7	76-Qia-7.B3	BovineUXT	31.903	31.839	0.091				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	76	Qia	Qia.Bovine	7	B3	2.757232743	1000	50	20	285.8924899	14294.6245	4.155172751
60	2019-01-15BovineUXT-HostDepletion	80	G8	76-Qia-7.B3	BovineUXT	31.775	31.839	0.091				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	76	Qia	Qia.Bovine	7	B3	2.793224504	1000	50	20	310.5950345	15529.75173	4.191164513
61	2019-01-15BovineUXT-HostDepletion	91	H7	77-Qia-8.B3	BovineUXT	33.959	34.143	0.26				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	77	Qia	Qia.Bovine	8	B3	2.181554177	1000	50	20	75.94937091	3797.468546	3.579494185
62	2019-01-15BovineUXT-HostDepletion	92	H8	77-Qia-8.B3	BovineUXT	34.327	34.143	0.26				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	77	Qia	Qia.Bovine	8	B3	2.07853027	1000	50	20	59.91013172	2995.506586	3.476470279
63	2019-01-15BovineUXT-HostDepletion	9	A9	79-Molz-1.B1	BovineUXT	39.41	39.498	0.124				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	79	Molz	Molz.Bovine	1	B1	0.655175325	1000	100	10	2.260191981	226.0191981	2.35414533
64	2019-01-15BovineUXT-HostDepletion	10	A10	79-Molz-1.B1	BovineUXT	39.586	39.498	0.124				4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	79	Molz	Molz.Bovine	1	B1	0.605892293	1000	100	10	2.017726499	201.7726499	2.304862298
65	2019-01-15BovineUXT-HostDepletion	21	B9	80-Molz-2.B2	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	80	Molz	Molz.Bovine	2	B2		1000	100	10			
66	2019-01-15BovineUXT-HostDepletion	22	B10	80-Molz-2.B2	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	80	Molz	Molz.Bovine	2	B2		1000	100	10			
67	2019-01-15BovineUXT-HostDepletion	33	C9	81-Molz-3.B2	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	81	Molz	Molz.Bovine	3	B2		1000	100	10			
68	2019-01-15BovineUXT-HostDepletion	34	C10	81-Molz-3.B2	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	81	Molz	Molz.Bovine	3	B2		1000	100	10			
69	2019-01-15BovineUXT-HostDepletion	45	D9	82-Molz-4.B3	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	82	Molz	Molz.Bovine	4	B3		1000	100	10			
70	2019-01-15BovineUXT-HostDepletion	46	D10	82-Molz-4.B3	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	82	Molz	Molz.Bovine	4	B3		1000	100	10			
71	2019-01-15BovineUXT-HostDepletion	95	H11	99-NEBdiluent	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	99	NEBdiluent	NEBdiluent.Bovine	Standard	Standard							
72	2019-01-15BovineUXT-HostDepletion	96	H12	99-NEBdiluent	BovineUXT	Undetermined						4.61E+04	90.563	0.999	-3.571	No	CT_jmp = 41.749293 - 3.57095*LogCopyN	99	NEBdiluent	NEBdiluent.Bovine	Standard	Standard							
74	2019-01-15Total16SHostDNADepletion	1	A1	STD1	Total16S	19.639	18.649	1.4	1.08E+06	6.033423755	19.639	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	STD1	Standard	Standard.Bacteria	Standard	Standard	5.849781919				353795.1892		
75	2019-01-15Total16SHostDNADepletion	2	A2	STD1	Total16S	17.659	18.649	1.4	1.08E+06	6.033423755	17.659	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	STD1	Standard	Standard.Bacteria	Standard	Standard	6.250618429				890406.7297		
76	2019-01-15Total16SHostDNADepletion	13	B1	STD2	Total16S	23.768	23.462	0.433	1.08E+05	5.033423755	23.768	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	STD2	Standard	Standard.Bacteria	Standard	Standard	5.013724649				51605.34116		
77	2019-01-15Total16SHostDNADepletion	14	B2	STD2	Total16S	23.156	23.462	0.433	1.08E+05	5.033423755	23.156	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	STD2	Standard	Standard.Bacteria	Standard	Standard	5.137661334				68648.54518		
78	2019-01-15Total16SHostDNADepletion	25	C1	STD3	Total16S	28.645	28.717	0.102	1.08E+04	4.033423755	28.645	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	STD3	Standard	Standard.Bacteria	Standard	Standard	4.026341234				5312.650399		
79	2019-01-15Total16SHostDNADepletion	26	C2	STD3	Total16S	28.79	28.717	0.102	1.08E+04	4.033423755	28.79	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	STD3	Standard	Standard.Bacteria	Standard	Standard	3.997036731				4966.000226		
80	2019-01-15Total16SHostDNADepletion	37	D1	STD4	Total16S	34.178	34.293	0.163	1.08E+03	3.033423755	34.178	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	STD4	Standard	Standard.Bacteria	Standard	Standard	2.906108215				402.7895728		
81	2019-01-15Total16SHostDNADepletion	38	D2	STD4	Total16S	34.409	34.293	0.163	1.08E+03	3.033423755	34.409	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	STD4	Standard	Standard.Bacteria	Standard	Standard	2.859353236				361.6789562		
82	2019-01-15Total16SHostDNADepletion	49	E1	STD5	Total16S	Undetermined	37.369		1.08E+02	2.033423755		1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	STD5	Standard	Standard.Bacteria	Standard	Standard							
83	2019-01-15Total16SHostDNADepletion	50	E2	STD5	Total16S	37.369	37.369		1.08E+02	2.033423755	37.369	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	STD5	Standard	Standard.Bacteria	Standard	Standard	2.260140178				91.01441504		
84	2019-01-15Total16SHostDNADepletion	61	F1	NTC	Total16S	37.776	37.789	0.702			37.776	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	NTC	Standard	Standard.Bacteria	Standard	Standard	2.177719622				75.28173615		
85	2019-01-15Total16SHostDNADepletion	62	F2	NTC	Total16S	37.093	37.789	0.702			37.093	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	NTC	Standard	Standard.Bacteria	Standard	Standard	2.315838197				103.4685114		
86	2019-01-15Total16SHostDNADepletion	84	G12	NTC	Total16S	38.497	37.789	0.702			38.497	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	NTC	Standard	Standard.Bacteria	Standard	Standard	2.031665923				53.7818736		
87	2019-01-15Total16SHostDNADepletion	51	E3	14-20uM-2.B1	Total16S	33.545	33.209	0.476			33.545	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	14	20uM	PMA.Bacteria	2	B1	3.034181606	400	100	4	540.9431307	135235.7827	5.131091619
88	2019-01-15Total16SHostDNADepletion	52	E4	14-20uM-2.B1	Total16S	32.872	33.209	0.476			32.872	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	14	20uM	PMA.Bacteria	2	B1	3.170539995	400	100	4	740.4743163	185118.5791	5.267450008
89	2019-01-15Total16SHostDNADepletion	63	F3	19-20uM-3.B1	Total16S	32.524	32.962	0.619			32.524	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	19	20uM	PMA.Bacteria	3	B1	3.240913436	400	100	4	870.7298647	217682.4662	5.337823449
90	2019-01-15Total16SHostDNADepletion	64	F4	19-20uM-3.B1	Total16S	33.4	32.962	0.619			33.4	1.08E+06	59.39214442	0.9878	-4.9390786	No	CT_jmp = 48.531525 - 4.9390786*LogCopyN	19	20uM	PMA.Bacteria	3	B1	3.063716269	400	100	4	579.0102787	144752.5697	5.160626282
