Assay	Well	Well.Position	Omit	Sample.Name	Target.Name	LogCopiesmLmilk	Sample	Wash	PMA	ConcentrationCAT	Conc.Target	Replicate	Bio	Regression	Reporter	Quencher	CT	Ct.Mean	Ct.SD	RegressionF	CalcCopyN	.InputSampleVolume(uL).	ElutionVolume(uL)	MilkEquiv(MuLuL)	BacktransfCopyN	CopiesuLDNA	CopiesmLmilk	caclLogCopiesmLmilk
Total16Sfull	79	G7	FALSE	29-10uM-1.B2	Total16S	4.251640498	29	Yes	10	10uM	10uM_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.8600502	33.11411285	0.359296143	2.154730485	2.154730485	400	100	4	142.8007488	71.40037441	17850.0936	4.251640498
Total16Sfull	80	G8	FALSE	29-10uM-1.B2	Total16S	4.131719976	29	Yes	10	10uM	10uM_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.36817169	33.11411285	0.359296143	2.034809963	2.034809963	400	100	4	108.3452717	54.17263586	13543.15896	4.131719976
BovineFull	45	D9	FALSE	34-10uM-2.B2	BovineUXT	3.874304196	34	Yes	10	10uM	10uM_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.25559998	34.13059235	0.176784784	1.777394183	1.777394183	400	100	4	59.89549838	29.94774919	7486.937298	3.874304196
BovineFull	46	D10	FALSE	34-10uM-2.B2	BovineUXT	3.9464734	34	Yes	10	10uM	10uM_Bovine	2	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.00558853	34.13059235	0.176784784	1.849563387	1.849563387	400	100	4	70.72344172	35.36172086	8840.430214	3.9464734
Total16Sfull	45	D9	FALSE	34-10uM-2.B2	Total16S	4.189862086	34	Yes	10	10uM	10uM_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.12181473	33.18621063	0.091066867	2.092952073	2.092952073	400	100	4	123.8659886	61.9329943	15483.24858	4.189862086
Total16Sfull	46	D10	FALSE	34-10uM-2.B2	Total16S	4.159467144	34	Yes	10	10uM	10uM_Total16S	2	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.25060272	33.18621063	0.091066867	2.062557131	2.062557131	400	100	4	115.4933904	57.74669522	14436.6738	4.159467144
BovineFull	11	A11	FALSE	39-10uM-3.B2	BovineUXT	4.310719817	39	Yes	10	10uM	10uM_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	32.74375153	32.80181122	0.082108803	2.213809804	2.213809804	400	100	4	163.6099845	81.80499227	20451.24807	4.310719817
BovineFull	12	A12	FALSE	39-10uM-3.B2	BovineUXT	4.277200377	39	Yes	10	10uM	10uM_Bovine	3	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	32.85987091	32.80181122	0.082108803	2.180290364	2.180290364	400	100	4	151.4573534	75.72867671	18932.16918	4.277200377
Total16Sfull	11	A11	FALSE	39-10uM-3.B2	Total16S	4.167442879	39	Yes	10	10uM	10uM_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.21680832	33.50034332	0.400979042	2.070532866	2.070532866	400	100	4	117.6340003	58.81700013	14704.25003	4.167442879
Total16Sfull	12	A12	FALSE	39-10uM-3.B2	Total16S	4.033610061	39	Yes	10	10uM	10uM_Total16S	3	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.78387833	33.50034332	0.400979042	1.936700048	1.936700048	400	100	4	86.43707211	43.21853605	10804.63401	4.033610061
BovineHalf	3	A3	FALSE	50-10uM-1.B3	BovineUXT	3.737351296	50	Yes	10	10uM	10uM_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.73003769	34.45012665	0.395851284	1.640441283	1.640441283	400	100	4	43.69595979	21.8479799	5461.994974	3.737351296
BovineHalf	4	A4	FALSE	50-10uM-1.B3	BovineUXT	3.898950454	50	Yes	10	10uM	10uM_Bovine	1	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.17021942	34.45012665	0.395851284	1.802040441	1.802040441	400	100	4	63.39287398	31.69643699	7924.109247	3.898950454
Total16Shalf	3	A3	FALSE	50-10uM-1.B3	Total16S	4.410957136	50	Yes	10	10uM	10uM_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.18500137	31.96519089	0.310860306	2.314047123	2.314047123	400	100	4	206.0853513	103.0426757	25760.66892	4.410957136
Total16Shalf	4	A4	FALSE	50-10uM-1.B3	Total16S	4.514711466	50	Yes	10	10uM	10uM_Total16S	1	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	31.74537849	31.96519089	0.310860306	2.417801453	2.417801453	400	100	4	261.6986326	130.8493163	32712.32908	4.514711466
BovineHalf	63	F3	FALSE	55-10uM-2.B3	BovineUXT	3.925878325	55	Yes	10	10uM	10uM_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.07693481	34.30963135	0.329082578	1.828968312	1.828968312	400	100	4	67.44788132	33.72394066	8430.985165	3.925878325
BovineHalf	64	F4	FALSE	55-10uM-2.B3	BovineUXT	3.791536286	55	Yes	10	10uM	10uM_Bovine	2	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.54232788	34.30963135	0.329082578	1.694626273	1.694626273	400	100	4	49.50240201	24.751201	6187.800251	3.791536286
Total16Shalf	63	F3	FALSE	55-10uM-2.B3	Total16S	4.457527273	55	Yes	10	10uM	10uM_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	31.98767662	31.8744278	0.160159379	2.36061726	2.36061726	400	100	4	229.4125962	114.7062981	28676.57453	4.457527273
Total16Shalf	64	F4	FALSE	55-10uM-2.B3	Total16S	4.510982885	55	Yes	10	10uM	10uM_Total16S	2	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	31.76117706	31.8744278	0.160159379	2.414072871	2.414072871	400	100	4	259.4614683	129.7307342	32432.68354	4.510982885
BovineHalf	29	C5	FALSE	60-10uM-3.B3	BovineUXT	3.731175967	60	Yes	10	10uM	10uM_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.75143051	34.61367035	0.194819599	1.634265954	1.634265954	400	100	4	43.07903379	21.53951689	5384.879223	3.731175967
BovineHalf	30	C6	FALSE	60-10uM-3.B3	BovineUXT	3.810707555	60	Yes	10	10uM	10uM_Bovine	3	B3	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.475914	34.61367035	0.194819599	1.713797542	1.713797542	400	100	4	51.73655925	25.86827962	6467.069906	3.810707555
Total16Shalf	29	C5	FALSE	60-10uM-3.B3	Total16S	4.413805677	60	Yes	10	10uM	10uM_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	32.17293167	32.05551147	0.166057229	2.316895664	2.316895664	400	100	4	207.4415096	103.7207548	25930.1887	4.413805677
Total16Shalf	30	C6	FALSE	60-10uM-3.B3	Total16S	4.469229789	60	Yes	10	10uM	10uM_Total16S	3	B3	CT = 41.989971 - 4.2371521*LogCopies	SYBR	None	31.93809128	32.05551147	0.166057229	2.372319776	2.372319776	400	100	4	235.6783974	117.8391987	29459.79967	4.469229789
BovineFull	51	E3	FALSE	8-10uM-1.B1	BovineUXT	3.828950544	8	Yes	10	10uM	10uM_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.41271591	34.1963501	0.305984765	1.732040531	1.732040531	400	100	4	53.95609749	26.97804875	6744.512187	3.828950544
BovineFull	52	E4	FALSE	8-10uM-1.B1	BovineUXT	3.953863314	8	Yes	10	10uM	10uM_Bovine	1	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.9799881	34.1963501	0.305984765	1.856953301	1.856953301	400	100	4	71.93716202	35.96858101	8992.145252	3.953863314
Total16Sfull	51	E3	FALSE	8-10uM-1.B1	Total16S	4.081645431	8	Yes	10	10uM	10uM_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.58034515	33.20196533	0.535107195	1.984735418	1.984735418	400	100	4	96.54625192	48.27312596	12068.28149	4.081645431
Total16Sfull	52	E4	FALSE	8-10uM-1.B1	Total16S	4.260245541	8	Yes	10	10uM	10uM_Total16S	1	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.82358932	33.20196533	0.535107195	2.163335528	2.163335528	400	100	4	145.6583976	72.82919879	18207.2997	4.260245541
BovineFull	29	C5	FALSE	14-20uM-2.B1	BovineUXT	3.871153765	14	Yes	20	20uM	20uM_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.26651382	34.02163696	0.34630549	1.774243752	1.774243752	400	100	4	59.46258045	29.73129023	7432.822557	3.871153765
BovineFull	30	C6	FALSE	14-20uM-2.B1	BovineUXT	4.012526738	14	Yes	20	20uM	20uM_Bovine	2	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.77676392	34.02163696	0.34630549	1.915616725	1.915616725	400	100	4	82.34111151	41.17055575	10292.63894	4.012526738
Total16Sfull	29	C5	FALSE	14-20uM-2.B1	Total16S	4.168104598	14	Yes	20	20uM	20uM_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.21400452	33.5113678	0.420535177	2.071194585	2.071194585	400	100	4	117.8133715	58.90668576	14726.67144	4.168104598
Total16Sfull	30	C6	FALSE	14-20uM-2.B1	Total16S	4.027744623	14	Yes	20	20uM	20uM_Total16S	2	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.80873108	33.5113678	0.420535177	1.93083461	1.93083461	400	100	4	85.27752937	42.63876468	10659.69117	4.027744623
BovineFull	89	H5	FALSE	19-20uM-3.B1	BovineUXT	3.950718388	19	Yes	20	20uM	20uM_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	33.99088287	34.18767548	0.278306782	1.853808375	1.853808375	400	100	4	71.4181137	35.70905685	8927.264213	3.950718388
BovineFull	90	H6	FALSE	19-20uM-3.B1	BovineUXT	3.837104665	19	Yes	20	20uM	20uM_Bovine	3	B1	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	34.38446808	34.18767548	0.278306782	1.740194652	1.740194652	400	100	4	54.97872349	27.48936174	6872.340436	3.837104665
Total16Sfull	89	H5	FALSE	19-20uM-3.B1	Total16S	3.918056882	19	Yes	20	20uM	20uM_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	34.27349472	33.96762466	0.43256557	1.821146869	1.821146869	400	100	4	66.24404886	33.12202443	8280.506107	3.918056882
Total16Sfull	90	H6	FALSE	19-20uM-3.B1	Total16S	4.062432183	19	Yes	20	20uM	20uM_Total16S	3	B1	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	33.66175461	33.96762466	0.43256557	1.96552217	1.96552217	400	100	4	92.36813404	46.18406702	11546.01676	4.062432183
BovineFull	91	H7	FALSE	30-20uM-1.B2	BovineUXT	4.365468602	30	Yes	20	20uM	20uM_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	32.55408859	32.64979553	0.135352746	2.268558589	2.268558589	400	100	4	185.5917169	92.79585843	23198.96461	4.365468602
BovineFull	92	H8	FALSE	30-20uM-1.B2	BovineUXT	4.310213281	30	Yes	20	20uM	20uM_Bovine	1	B2	CT = 40.41292 - 3.46424*LogCopies	FAM	NFQ-MGB	32.74550629	32.64979553	0.135352746	2.213303268	2.213303268	400	100	4	163.4192707	81.70963536	20427.40884	4.310213281
Total16Sfull	91	H7	FALSE	30-20uM-1.B2	Total16S	4.469765466	30	Yes	20	20uM	20uM_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	31.93582153	32.3125267	0.532741547	2.372855453	2.372855453	400	100	4	235.9692723	117.9846362	29496.15904	4.469765466
Total16Sfull	92	H8	FALSE	30-20uM-1.B2	Total16S	4.291954918	30	Yes	20	20uM	20uM_Total16S	1	B2	CT = 41.989971 - 4.2371521*LogCopies	FAM	NFQ-MGB	32.68923187	32.3125267	0.532741547	2.195044905	2.195044905	400	100	4	156.6913076	78.34565378	19586.41344	4.291954918
