DataLine	qPCRFile	Assay	SpikeSet	Date Performed	LabNotebook	QuantstudioFileName	KitsAnalyzed	NKits	HighestSTD	qPCRefficiency	rsquare	slope	DroppedDatapoints	STDequation	Well	Well Position	PeakCheck	Sample Name	Target Name	CT_original	Ct Mean	Ct SD	CT_checked	VariableKit	VariableSampleType	VariableAssay	VariableSpikeSet	VariableCT_checked	LogCopy	BacktransfCopy2uLRXN	Intercept	Slope	STDequation2	Kit_SampleType	NucleicAcid	 InputSampleVolume(uL) 	ElutionVolume(uL)	MilkEquivalentDNAuL	CopiesperuLDNA	CopiespermLofMilk	LogCopiespermLofMilk
550	22018-05-29BacillusDNA	Bacillus wiedmannii	Second	Tue May 29 00:00:00 EDT 2018	106	22018-05-29BacillusDNA	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	12700000	0.866170458	0.996869	-3.6907	No	CT = 36.008208 - 3.6907*Quantity Mean	26	C2	Correct	COREDNA-5-InoculatedMilk-1	Bacillus_rpoB	21.29821968	20.99028969	0.435478777	21.29821968	COREDNA	InoculatedMilk	Bacillus wiedmannii	Second	21.29821968	3.985690606	9675.88	36.008208	-3.6907	CT = 36.008208 - 3.6907*Quantity Mean	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	4837.94	2177073	6.337872992
949	22018-06-01MycoF2	Mycobacterium smegmatis	Second	Fri Jun 01 00:00:00 EDT 2018	119	22018-06-01MycoF2	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	7830000	0.549733218	0.974622	-5.25605	No	CT = 46.551657 -5.25605*LogCopy	37	D1	Correct	COREDNA-6-InoculatedMilk-2	Mycobacterium_rpoB	21.40416527	21.53860855	0.190132856	21.40416527	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Second	21.40416527	4.784484876	60881.43	46.551657	-5.25605	CT = 46.551657 -5.25605*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	30440.715	13698321.75	7.136667363
937	22018-06-01MycoF2	Mycobacterium smegmatis	Second	Fri Jun 01 00:00:00 EDT 2018	119	22018-06-01MycoF2	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	7830000	0.549733218	0.974622	-5.25605	No	CT = 46.551657 -5.25605*LogCopy	25	C1	Correct	COREDNA-5-InoculatedMilk-1	Mycobacterium_rpoB	21.41014099	21.56158066	0.214168027	21.41014099	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Second	21.41014099	4.783347953	60722.26	46.551657	-5.25605	CT = 46.551657 -5.25605*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	30361.13	13662508.5	7.135530445
950	22018-06-01MycoF2	Mycobacterium smegmatis	Second	Fri Jun 01 00:00:00 EDT 2018	119	22018-06-01MycoF2	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	7830000	0.549733218	0.974622	-5.25605	No	CT = 46.551657 -5.25605*LogCopy	38	D2	Correct	COREDNA-6-InoculatedMilk-2	Mycobacterium_rpoB	21.67305374	21.53860855	0.190132856	21.67305374	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Second	21.67305374	4.733326977	54116.16	46.551657	-5.25605	CT = 46.551657 -5.25605*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	27058.08	12176136	7.08550949
938	22018-06-01MycoF2	Mycobacterium smegmatis	Second	Fri Jun 01 00:00:00 EDT 2018	119	22018-06-01MycoF2	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	7830000	0.549733218	0.974622	-5.25605	No	CT = 46.551657 -5.25605*LogCopy	26	C2	Correct	COREDNA-5-InoculatedMilk-1	Mycobacterium_rpoB	21.71302032	21.56158066	0.214168027	21.71302032	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Second	21.71302032	4.725723057	53176.91	46.551657	-5.25605	CT = 46.551657 -5.25605*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	26588.455	11964804.75	7.077905616
962	22018-06-01MycoF2	Mycobacterium smegmatis	Second	Fri Jun 01 00:00:00 EDT 2018	119	22018-06-01MycoF2	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	7830000	0.549733218	0.974622	-5.25605	No	CT = 46.551657 -5.25605*LogCopy	50	E2	Correct	COREDNA-7-InoculatedMilk-3	Mycobacterium_rpoB	22.20773697	21.66191292	0.7719118	22.20773697	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Second	22.20773697	4.631599781	42815.38	46.551657	-5.25605	CT = 46.551657 -5.25605*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	21407.69	9633460.5	6.983782321
1821	2018-08-03Myco-rpoB-full	Mycobacterium smegmatis	Third	Fri Aug 03 00:00:00 EDT 2018	142	2018-08-03Myco-rpoB-full	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	15400000	0.519570009	0.914996	-5.50295	Yes-STD5-peak	CT = 48.801017 - 5.50295*LogCopies	27	C3	Correct	COREDNA-Third-3-InoculatedMilk-2	Mycobacterium_rpoB	22.94360924	23.18403244	0.340008408	22.94360924	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Third	22.94360924	4.698826586	49983.49	48.801017	-5.50295	CT = 48.801017 - 5.50295*LogCopies	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	24991.745	11246285.25	7.051009095
864	22018-05-31Salmonella	Salmonella sp.	Second	Thu May 31 00:00:00 EDT 2018	117	22018-05-31Salmonella	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	23000000	0.846611048	0.984104	-3.7541	No	CT = 36.717462 - 3.7541*Logcopy	49	E1	Correct	COREDNA-7-InoculatedMilk-3	Salmonella_rpoB	23.19484138	23.65006256	0.643781304	23.19484138	COREDNA	InoculatedMilk	Salmonella sp.	Second	23.19484138	3.602093875	4000.31	36.717462	-3.7541	CT = 36.717462 - 3.7541*Logcopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	2000.155	900069.75	5.954276166
1822	2018-08-03Myco-rpoB-full	Mycobacterium smegmatis	Third	Fri Aug 03 00:00:00 EDT 2018	142	2018-08-03Myco-rpoB-full	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	15400000	0.519570009	0.914996	-5.50295	Yes-STD5-peak	CT = 48.801017 - 5.50295*LogCopies	28	C4	Correct	COREDNA-Third-3-InoculatedMilk-2	Mycobacterium_rpoB	23.42445374	23.18403244	0.340008408	23.42445374	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Third	23.42445374	4.611447181	40874	48.801017	-5.50295	CT = 48.801017 - 5.50295*LogCopies	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	20437	9196650	6.963629659
840	22018-05-31Salmonella	Salmonella sp.	Second	Thu May 31 00:00:00 EDT 2018	117	22018-05-31Salmonella	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	23000000	0.846611048	0.984104	-3.7541	No	CT = 36.717462 - 3.7541*Logcopy	25	C1	Correct	COREDNA-5-InoculatedMilk-1	Salmonella_rpoB	23.52690125	23.71459198	0.265433431	23.52690125	COREDNA	InoculatedMilk	Salmonella sp.	Second	23.52690125	3.513641287	3263.18	36.717462	-3.7541	CT = 36.717462 - 3.7541*Logcopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	1631.59	734215.5	5.865823549
852	22018-05-31Salmonella	Salmonella sp.	Second	Thu May 31 00:00:00 EDT 2018	117	22018-05-31Salmonella	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	23000000	0.846611048	0.984104	-3.7541	No	CT = 36.717462 - 3.7541*Logcopy	37	D1	Correct	COREDNA-6-InoculatedMilk-2	Salmonella_rpoB	23.5573082	23.73602676	0.252746224	23.5573082	COREDNA	InoculatedMilk	Salmonella sp.	Second	23.5573082	3.505541622	3202.89	36.717462	-3.7541	CT = 36.717462 - 3.7541*Logcopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	1601.445	720650.25	5.857724542
1809	2018-08-03Myco-rpoB-full	Mycobacterium smegmatis	Third	Fri Aug 03 00:00:00 EDT 2018	142	2018-08-03Myco-rpoB-full	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	15400000	0.519570009	0.914996	-5.50295	Yes-STD5-peak	CT = 48.801017 - 5.50295*LogCopies	15	B3	Correct	COREDNA-Third-2-InoculatedMilk-1	Mycobacterium_rpoB	23.69254494	23.71793556	0.035907768	23.69254494	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Third	23.69254494	4.562729457	36536.71	48.801017	-5.50295	CT = 48.801017 - 5.50295*LogCopies	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	18268.355	8220759.75	6.914911956
1810	2018-08-03Myco-rpoB-full	Mycobacterium smegmatis	Third	Fri Aug 03 00:00:00 EDT 2018	142	2018-08-03Myco-rpoB-full	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	15400000	0.519570009	0.914996	-5.50295	Yes-STD5-peak	CT = 48.801017 - 5.50295*LogCopies	16	B4	Correct	COREDNA-Third-2-InoculatedMilk-1	Mycobacterium_rpoB	23.74332619	23.71793556	0.035907768	23.74332619	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Third	23.74332619	4.553501452	35768.56	48.801017	-5.50295	CT = 48.801017 - 5.50295*LogCopies	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	17884.28	8047926	6.905683974
1340	2018-07-26ListeriaFULL	Listeria monocytogenes	Third	Thu Jul 26 00:00:00 EDT 2018	132	2018-07-26ListeriaFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	19273657.72	0.445678466	0.94897	-6.2472	No	CT = 52.268428 -6.2472*LogCopy	15	B3	Correct	COREDNA-Third-2-InoculatedMilk-1	Listeria_rpoB	23.81350708	23.96228409	0.210402459	23.81350708	COREDNA	InoculatedMilk	Listeria monocytogenes	Third	23.81350708	4.55482791	35877.97	52.268428	-6.2472	CT = 52.268428 -6.2472*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	17938.985	8072543.25	6.907010381
1364	2018-07-26ListeriaFULL	Listeria monocytogenes	Third	Thu Jul 26 00:00:00 EDT 2018	132	2018-07-26ListeriaFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	19273657.72	0.445678466	0.94897	-6.2472	No	CT = 52.268428 -6.2472*LogCopy	39	D3	Correct	COREDNA-Third-4-InoculatedMilk-3	Listeria_rpoB	23.83922768	24.0816803	0.342879772	23.83922768	COREDNA	InoculatedMilk	Listeria monocytogenes	Third	23.83922768	4.55071077	35539.46	52.268428	-6.2472	CT = 52.268428 -6.2472*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	17769.73	7996378.5	6.902893343
646	22018-05-30ListeriaDNA	Listeria monocytogenes	Second	Wed May 30 00:00:00 EDT 2018	113	22018-05-30ListeriaDNA	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	18300000	0.471265122	0.932234	-5.9633514	Yes-STD4/5-peak	CT = 50.662602 - 5.9633514*LogCop	25	C1	Correct	COREDNA-5-InoculatedMilk-1	Listeria_rpoB	23.85152626	24.328022	0.673866749	23.85152626	COREDNA	InoculatedMilk	Listeria monocytogenes	Second	23.85152626	4.495974485	31331.02	50.662602	-5.9633514	CT = 50.662602 - 5.9633514*LogCop	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	15665.51	7049479.5	6.848157052
841	22018-05-31Salmonella	Salmonella sp.	Second	Thu May 31 00:00:00 EDT 2018	117	22018-05-31Salmonella	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	23000000	0.846611048	0.984104	-3.7541	No	CT = 36.717462 - 3.7541*Logcopy	26	C2	Correct	COREDNA-5-InoculatedMilk-1	Salmonella_rpoB	23.90228081	23.71459198	0.265433431	23.90228081	COREDNA	InoculatedMilk	Salmonella sp.	Second	23.90228081	3.413649395	2592.09	36.717462	-3.7541	CT = 36.717462 - 3.7541*Logcopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	1296.045	583220.25	5.765832595
853	22018-05-31Salmonella	Salmonella sp.	Second	Thu May 31 00:00:00 EDT 2018	117	22018-05-31Salmonella	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	23000000	0.846611048	0.984104	-3.7541	No	CT = 36.717462 - 3.7541*Logcopy	38	D2	Correct	COREDNA-6-InoculatedMilk-2	Salmonella_rpoB	23.91474533	23.73602676	0.252746224	23.91474533	COREDNA	InoculatedMilk	Salmonella sp.	Second	23.91474533	3.410329152	2572.34	36.717462	-3.7541	CT = 36.717462 - 3.7541*Logcopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	1286.17	578776.5	5.762510889
670	22018-05-30ListeriaDNA	Listeria monocytogenes	Second	Wed May 30 00:00:00 EDT 2018	113	22018-05-30ListeriaDNA	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	18300000	0.471265122	0.932234	-5.9633514	Yes-STD4/5-peak	CT = 50.662602 - 5.9633514*LogCop	49	E1	Correct	COREDNA-7-InoculatedMilk-3	Listeria_rpoB	23.92726707	24.24767876	0.453130543	23.92726707	COREDNA	InoculatedMilk	Listeria monocytogenes	Second	23.92726707	4.483273437	30428	50.662602	-5.9633514	CT = 50.662602 - 5.9633514*LogCop	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	15214	6846300	6.835455926
1834	2018-08-03Myco-rpoB-full	Mycobacterium smegmatis	Third	Fri Aug 03 00:00:00 EDT 2018	142	2018-08-03Myco-rpoB-full	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	15400000	0.519570009	0.914996	-5.50295	Yes-STD5-peak	CT = 48.801017 - 5.50295*LogCopies	40	D4	Correct	COREDNA-Third-4-InoculatedMilk-3	Mycobacterium_rpoB	24.07126236	24.12643051	0.078019552	24.07126236	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Third	24.07126236	4.493908656	31182.34	48.801017	-5.50295	CT = 48.801017 - 5.50295*LogCopies	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	15591.17	7016026.5	6.846091221
1353	2018-07-26ListeriaFULL	Listeria monocytogenes	Third	Thu Jul 26 00:00:00 EDT 2018	132	2018-07-26ListeriaFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	19273657.72	0.445678466	0.94897	-6.2472	No	CT = 52.268428 -6.2472*LogCopy	28	C4	Correct	COREDNA-Third-3-InoculatedMilk-2	Listeria_rpoB	24.0918808	24.11595535	0.034046561	24.0918808	COREDNA	InoculatedMilk	Listeria monocytogenes	Third	24.0918808	4.510268152	32379.35	52.268428	-6.2472	CT = 52.268428 -6.2472*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	16189.675	7285353.75	6.862450644
865	22018-05-31Salmonella	Salmonella sp.	Second	Thu May 31 00:00:00 EDT 2018	117	22018-05-31Salmonella	COREDNA.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	6	23000000	0.846611048	0.984104	-3.7541	No	CT = 36.717462 - 3.7541*Logcopy	50	E2	Correct	COREDNA-7-InoculatedMilk-3	Salmonella_rpoB	24.10528564	23.65006256	0.643781304	24.10528564	COREDNA	InoculatedMilk	Salmonella sp.	Second	24.10528564	3.359573894	2288.62	36.717462	-3.7541	CT = 36.717462 - 3.7541*Logcopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	1144.31	514939.5	5.711756207
1341	2018-07-26ListeriaFULL	Listeria monocytogenes	Third	Thu Jul 26 00:00:00 EDT 2018	132	2018-07-26ListeriaFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	19273657.72	0.445678466	0.94897	-6.2472	No	CT = 52.268428 -6.2472*LogCopy	16	B4	Correct	COREDNA-Third-2-InoculatedMilk-1	Listeria_rpoB	24.1110611	23.96228409	0.210402459	24.1110611	COREDNA	InoculatedMilk	Listeria monocytogenes	Third	24.1110611	4.507197929	32151.25	52.268428	-6.2472	CT = 52.268428 -6.2472*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	16075.625	7234031.25	6.859380381
1352	2018-07-26ListeriaFULL	Listeria monocytogenes	Third	Thu Jul 26 00:00:00 EDT 2018	132	2018-07-26ListeriaFULL	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	19273657.72	0.445678466	0.94897	-6.2472	No	CT = 52.268428 -6.2472*LogCopy	27	C3	Correct	COREDNA-Third-3-InoculatedMilk-2	Listeria_rpoB	24.14002991	24.11595535	0.034046561	24.14002991	COREDNA	InoculatedMilk	Listeria monocytogenes	Third	24.14002991	4.502560842	31809.79	52.268428	-6.2472	CT = 52.268428 -6.2472*LogCopy	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	15904.895	7157202.75	6.85474332
1833	2018-08-03Myco-rpoB-full	Mycobacterium smegmatis	Third	Fri Aug 03 00:00:00 EDT 2018	142	2018-08-03Myco-rpoB-full	COREDNA.EZFood.Mastitis.Pfood.PSoilP.PviralDNA.ZymoDNA	7	15400000	0.519570009	0.914996	-5.50295	Yes-STD5-peak	CT = 48.801017 - 5.50295*LogCopies	39	D3	Correct	COREDNA-Third-4-InoculatedMilk-3	Mycobacterium_rpoB	24.18159866	24.12643051	0.078019552	24.18159866	COREDNA	InoculatedMilk	Mycobacterium smegmatis	Third	24.18159866	4.473858265	29775.45	48.801017	-5.50295	CT = 48.801017 - 5.50295*LogCopies	COREDNA_InoculatedMilk	DNA/RNAmix	200	90	2.222222222	14887.725	6699476.25	6.826040852
