UTC.Created.Time	Results.Group.Name	CFUmL	LogCFUmL	Counted.Colonies	Counted.Volume	Dilution.Factor	Plate.Id	MilkType	Buffer	Enzyme	PMA	EnzymeConc	BioRep
2/24/19 22:36	Count Results	72000	4.86	36	0.050000001	100	SpikedBufferEnzymeRawMilk-2/22-rep3	Spiked	Yes	1x	No	1	B1
2/24/19 22:36	Count Results	82515	4.92	168	0.02036	10	SpikedBufferEnzymeRawMilk-2/22-rep2	Spiked	Yes	1x	No	1	B1
2/24/19 22:36	Count Results	80550	4.91	164	0.02036	10	SpikedBufferEnzymeRawMilk-2/22-rep1	Spiked	Yes	1x	No	1	B1
2/24/19 22:35	Count Results	495050	5.69	160	0.03232	100	SpikedUntreatedRawMilk-2/22-rep4	Spiked	No	No	No	0	B1
2/24/19 22:34	Count Results	501238	5.7	162	0.03232	100	SpikedUntreatedRawMilk-2/22-rep3	Spiked	No	No	No	0	B1
2/24/19 22:34	Count Results	360248	5.56	232	0.00644	10	SpikedUntreatedRawMilk-2/22-rep2	Spiked	No	No	No	0	B1
2/24/19 22:34	Count Results	378882	5.58	244	0.00644	10	SpikedUntreatedRawMilk-2/22-rep1	Spiked	No	No	No	0	B1
2/24/19 22:32	Count Results	4600	3.66	23	0.050000001	10	UnspikedRawMilk-2/22-rep4	NotSpiked	No	No	No	0	B1
2/24/19 22:32	Count Results	3200	3.51	16	0.050000001	10	UnspikedRawMilk-2/22-rep3	NotSpiked	No	No	No	0	B1
2/24/19 22:32	Count Results	2840	3.45	142	0.050000001	1	UnspikedRawMilk-2/22-rep2	NotSpiked	No	No	No	0	B1
2/24/19 22:31	Count Results	3220	3.51	161	0.050000001	1	UnspikedRawMilk-2/22-rep1	NotSpiked	No	No	No	0	B1
