DataLine	qPCRFile	Assay	DatePerformed	LabNotebook	HighestSTD	qPCRefficiency	rsquare	slope	STDequation	Well	WellPosition	PeakCheck	SampleName	TargetName	CT	CT_checked	SampID	BioRep	MilkType	FrozenGlycerol	Buffer	Enzyme	PMA	LightSource	DNAextrNotes	Formula	LogCopyNRXN	BackTransfRXN	InputSampleVolume.uL.	ElutionVolume.uL.	MilkEquivalentDNAuL	CopiesperuLDNA	CopiespermLofMilk	LogCopiespermLofMilk
298	2019-03-06Salmonella-rpoB	Salmonella-rpoB	3/6/19	2p24	6.928919542	64.96378421	0.984575	-4.600057	CTjmp = 43.425528 - 4.6000057*LogCopies	10	A10	IncorrectPeak	Sample 73	Salmonella-rpoB	Undetermined		73	B2	NegCTRL	No	Yes	No	No	None		CTjmp = 43.425528 - 4.6000057*LogCopies			200	90	2.222222222			
1	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	1	A1	NA	Sample 1	BovineUXT	33.051	33.051	1	B1	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	2.409237149	256.588477	200	90	2.222222222	128.2942385	57732.40733	4.761419667
2	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	13	B1	NA	Sample 2	BovineUXT	33.675	33.675	2	B1	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	2.251622242	178.4934328	200	90	2.222222222	89.24671641	40161.02239	4.60380476
3	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	25	C1	NA	Sample 3	BovineUXT	31.727	31.727	3	B1	NotSpiked	No	No	No	No	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	2.743289764	553.7194314	200	90	2.222222222	276.8597157	124586.8721	5.095472282
4	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	37	D1	NA	Sample 4	BovineUXT	31.545	31.545	4	B1	NotSpiked	No	No	No	No	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	2.789291268	615.5895919	200	90	2.222222222	307.7947959	138507.6582	5.141473787
5	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	49	E1	NA	Sample 5	BovineUXT	38.203	38.203	5	B1	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	1.108793814	12.846766	200	90	2.222222222	6.423383002	2890.522351	3.460976332
6	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	61	F1	NA	Sample 6	BovineUXT	38.258	38.258	6	B1	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	1.094945462	12.44358337	200	90	2.222222222	6.221791685	2799.806259	3.44712798
7	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	73	G1	NA	Sample 7	BovineUXT	38.313	38.313	7	B1	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	1.081186653	12.05553957	200	90	2.222222222	6.027769786	2712.496404	3.433369171
8	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	85	H1	NA	Sample 8	BovineUXT	37.936	37.936	8	B1	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	1.17632174	15.00796264	200	90	2.222222222	7.503981318	3376.791594	3.528504258
9	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	2	A2	NA	Sample 9	BovineUXT	38.955	38.955	9	B1	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	0.919098448	8.300389039	200	90	2.222222222	4.15019452	1867.587534	3.271280966
10	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	14	B2	NA	Sample 10	BovineUXT	Undetermined		10	B1	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy			200	90	2.222222222			
11	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	26	C2	NA	Sample 11	BovineUXT	38.726	38.726	11	B1	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	0.976961509	9.4833441	200	90	2.222222222	4.74167205	2133.752423	3.329144027
12	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	38	D2	NA	Sample 12	BovineUXT	39.3	39.3	12	B1	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	0.831946166	6.791194463	200	90	2.222222222	3.395597231	1528.018754	3.184128685
37	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	53	E5	NA	Sample 37	BovineUXT	31.534	31.534	37	B2	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	2.792058435	619.524428	200	90	2.222222222	309.762214	139392.9963	5.144240954
38	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	65	F5	NA	Sample 38	BovineUXT	31.41	31.41	38	B2	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	2.823446621	665.9576634	200	90	2.222222222	332.9788317	149840.4743	5.175629139
39	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	77	G5	NA	Sample 39	BovineUXT	31.524	31.524	39	B2	NotSpiked	No	No	No	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	2.794591635	623.1486166	200	90	2.222222222	311.5743083	140208.4388	5.146774153
40	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	89	H5	NA	Sample 40	BovineUXT	31.002	31.002	40	B2	NotSpiked	No	No	No	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	2.92637965	844.0723032	200	90	2.222222222	422.0361516	189916.2682	5.278562168
41	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	6	A6	NA	Sample 41	BovineUXT	38.03	38.03	41	B2	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	1.152513897	14.20737676	200	90	2.222222222	7.103688379	3196.659771	3.504696416
42	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	18	B6	NA	Sample 42	BovineUXT	37.617	37.617	42	B2	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	1.25686132	18.06597149	200	90	2.222222222	9.032985743	4064.843585	3.609043839
43	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	30	C6	NA	Sample 43	BovineUXT	37.185	37.185	43	B2	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	1.365794692	23.21639008	200	90	2.222222222	11.60819504	5223.687768	3.71797721
44	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	42	D6	NA	Sample 44	BovineUXT	36.823	36.823	44	B2	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	1.457182453	28.65381505	200	90	2.222222222	14.32690752	6447.108386	3.809364971
45	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	54	E6	NA	Sample 45	BovineUXT	38.275	38.275	45	B2	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	1.090738867	12.32363615	200	90	2.222222222	6.161818073	2772.818133	3.442921385
46	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	66	F6	NA	Sample 46	BovineUXT	37.841	37.841	46	B2	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 42.596315 - 3.9619726*LogCopy	1.200300966	15.85991902	200	90	2.222222222	7.929959511	3568.48178	3.552483484
47	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	78	G6	NA	Sample 47	BovineUXT	39.016	39.016	47	B2	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	0.903669133	8.010675383	200	90	2.222222222	4.005337691	1802.401961	3.255851651
48	2019-03-01BovineUXT	Bovine	3/1/19	2p16	4.450249108	78.81317906	0.99356	-3.9619726	CTjmp = 42.596315 - 3.9619726*LogCopy	90	H6	NA	Sample 48	BovineUXT	39.318	39.318	48	B2	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 42.596315 - 3.9619726*LogCopy	0.82751427	6.72224397	200	90	2.222222222	3.361121985	1512.504893	3.179696788
76	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	1	A1	NA	Sample 1	Total16S	28.49	28.49	1	B1	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	1.85752979	72.03271589	200	90	2.222222222	36.01635794	16207.36108	4.209712308
77	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	13	B1	NA	Sample 2	Total16S	29.88	29.88	2	B1	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	1.498500574	31.51378545	200	90	2.222222222	15.75689272	7090.601726	3.850683092
78	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	25	C1	NA	Sample 3	Total16S	27.664	27.664	3	B1	NotSpiked	No	No	No	No	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	2.070928158	117.7411188	200	90	2.222222222	58.87055941	26491.75174	4.423110676
79	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	37	D1	NA	Sample 4	Total16S	27.729	27.729	4	B1	NotSpiked	No	No	No	No	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	2.054301371	113.3186446	200	90	2.222222222	56.6593223	25496.69504	4.406483889
80	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	49	E1	NA	Sample 5	Total16S	29.987	29.987	5	B1	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	1.470893554	29.57287546	200	90	2.222222222	14.78643773	6653.896979	3.823076073
81	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	61	F1	NA	Sample 6	Total16S	29.658	29.658	6	B1	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	1.556002305	35.97512447	200	90	2.222222222	17.98756224	8094.403007	3.908184823
82	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	73	G1	NA	Sample 7	Total16S	29.889	29.889	7	B1	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	1.496200071	31.34729501	200	90	2.222222222	15.67364751	7053.141378	3.848382589
83	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	85	H1	NA	Sample 8	Total16S	30.43	30.43	8	B1	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	1.356397592	22.7194384	200	90	2.222222222	11.3597192	5111.87364	3.70858011
84	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	2	A2	NA	Sample 9	Total16S	31.526	31.526	9	B1	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	1.073340647	11.83969861	200	90	2.222222222	5.919849307	2663.932188	3.425523165
85	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	14	B2	NA	Sample 10	Total16S	30.353	30.353	10	B1	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	1.376321651	23.78601297	200	90	2.222222222	11.89300648	5351.852918	3.728504169
86	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	26	C2	NA	Sample 11	Total16S	30.232	30.232	11	B1	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	1.407543747	25.55899345	200	90	2.222222222	12.77949673	5750.773528	3.759726265
87	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	38	D2	NA	Sample 12	Total16S	30.418	30.418	12	B1	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	1.359524384	22.88360189	200	90	2.222222222	11.44180095	5148.810426	3.711706902
112	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	53	E5	NA	Sample 37	Total16S	26.077	26.077	37	B2	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	2.480966553	302.6680321	200	90	2.222222222	151.3340161	68100.30723	4.833149071
113	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	65	F5	NA	Sample 38	Total16S	25.976	25.976	38	B2	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	2.507022495	321.3826998	200	90	2.222222222	160.6913499	72311.10745	4.859205013
114	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	77	G5	NA	Sample 39	Total16S	26.364	26.364	39	B2	NotSpiked	No	No	No	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	2.406879423	255.1992673	200	90	2.222222222	127.5996336	57419.83515	4.759061941
115	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	89	H5	NA	Sample 40	Total16S	25.866	25.866	40	B2	NotSpiked	No	No	No	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	2.535498177	343.1611994	200	90	2.222222222	171.5805997	77211.26987	4.887680695
116	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	6	A6	NA	Sample 41	Total16S	28.972	28.972	41	B2	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	1.733087318	54.08630563	200	90	2.222222222	27.04315281	12169.41877	4.085269836
117	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	18	B6	NA	Sample 42	Total16S	28.712	28.712	42	B2	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	1.800360151	63.14808	200	90	2.222222222	31.57404	14208.318	4.152542669
118	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	30	C6	NA	Sample 43	Total16S	28.513	28.513	43	B2	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	1.851695017	71.07142392	200	90	2.222222222	35.53571196	15991.07038	4.203877535
119	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	42	D6	NA	Sample 44	Total16S	28.557	28.557	44	B2	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	1.840201864	69.2152615	200	90	2.222222222	34.60763075	15573.43384	4.192384382
120	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	54	E6	NA	Sample 45	Total16S	29.217	29.217	45	B2	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	1.669802549	46.75225351	200	90	2.222222222	23.37612675	10519.25704	4.021985067
121	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	66	F6	NA	Sample 46	Total16S	29.459	29.459	46	B2	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 35.680964 - 3.8710714*LogCopies	1.60720463	40.47665639	200	90	2.222222222	20.2383282	9107.247689	3.959387148
122	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	78	G6	NA	Sample 47	Total16S	29.653	29.653	47	B2	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	1.557059186	36.06277867	200	90	2.222222222	18.03138934	8114.125202	3.909241705
123	2019-03-01Total16S	Total16S	3/1/19	2p17	7	81.30005374	0.9962	-3.87	CTjmp = 35.680964 - 3.8710714*LogCopies	90	H6	NA	Sample 48	Total16S	29.575	29.575	48	B2	NotSpiked	No	Yes	10X	PMA	Halogen		CTjmp = 35.680964 - 3.8710714*LogCopies	1.577359683	37.78850259	200	90	2.222222222	18.8942513	8502.413084	3.929542201
151	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	1	A1	IncorrectPeak	Sample 1	Listeria-rpoB	36.531		1	B1	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
152	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	13	B1	IncorrectPeak	Sample 2	Listeria-rpoB	38.941		2	B1	NotSpiked	No	No	No	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
153	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	25	C1	IncorrectPeak	Sample 3	Listeria-rpoB	36.92		3	B1	NotSpiked	No	No	No	No	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
154	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	37	D1	IncorrectPeak	Sample 4	Listeria-rpoB	37.498		4	B1	NotSpiked	No	No	No	No	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
155	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	49	E1	IncorrectPeak	Sample 5	Listeria-rpoB	Undetermined		5	B1	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
156	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	61	F1	IncorrectPeak	Sample 6	Listeria-rpoB	Undetermined		6	B1	NotSpiked	No	Yes	1x	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
157	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	73	G1	IncorrectPeak	Sample 7	Listeria-rpoB	Undetermined		7	B1	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
158	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	85	H1	IncorrectPeak	Sample 8	Listeria-rpoB	Undetermined		8	B1	NotSpiked	No	Yes	1x	PMA	Halogen		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
159	2019-03-01Listeria-rpoB	Listeria-rpoB	3/1/19	2p19	6.210505044	77.82294842	0.99689	-4.0001951	CTjmp = 38.711445 - 4.0001951*LogCopies	2	A2	IncorrectPeak	Sample 9	Listeria-rpoB	Undetermined		9	B1	NotSpiked	No	Yes	10X	PMA	BLUV		CTjmp = 38.711445 - 4.0001951*LogCopies			200	90	2.222222222			
