"DataLine"	"qPCRFile"	"Assay"	"DatePerformed"	"LabNotebook"	"HighestSTD"	"qPCRefficiency"	"rsquare"	"slope"	"STDequation"	"Well"	"WellPosition"	"PeakCheck"	"SampleName"	"TargetName"	"CT"	"CT_checked"	"SampID"	"BioRep"	"MilkType"	"FrozenGlycerol"	"Buffer"	"Enzyme"	"PMA"	"LightSource"	"DNAextrNotes"	"Formula"	"LogCopyNRXN"	"BackTransfRXN"	"InputSampleVolume.uL."	"ElutionVolume.uL."	"MilkEquivalentDNAuL"	"CopiesperuLDNA"	"CopiespermLofMilk"	"LogCopiespermLofMilk"
"11"	49	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	7	"A7"	NA	"Sample 49"	"BovineUXT"	"32.331"	32.331	49	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	2.590944895	389.8925127	200	90	2.222222222	194.9462563	"87725.81536"	4.943127413
"12"	50	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	19	"B7"	NA	"Sample 50"	"BovineUXT"	"32.911"	32.911	50	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	2.444637438	278.3796201	200	90	2.222222222	139.18981	"62635.41452"	4.796819956
"13"	51	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	31	"C7"	NA	"Sample 51"	"BovineUXT"	"31.747"	31.747	51	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"Halogen"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	2.738296539	547.3895969	200	90	2.222222222	273.6947985	"123162.6593"	5.090479058
"14"	52	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	43	"D7"	NA	"Sample 52"	"BovineUXT"	"31.605"	31.605	52	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"Halogen"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	2.774248047	594.6316854	200	90	2.222222222	297.3158427	"133792.1292"	5.126430565
"15"	53	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	55	"E7"	NA	"Sample 53"	"BovineUXT"	"37.366"	37.366	53	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	1.320157618	20.90054536	200	90	2.222222222	10.45027268	"4702.622707"	3.672340137
"16"	54	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	67	"F7"	NA	"Sample 54"	"BovineUXT"	"38.125"	38.125	54	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	1.128553928	13.44478706	200	90	2.222222222	6.72239353	"3025.077089"	3.480736446
"17"	55	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	79	"G7"	NA	"Sample 55"	"BovineUXT"	"36.548"	36.548	55	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	1.526656254	33.62453246	200	90	2.222222222	16.81226623	"7565.519804"	3.878838772
"18"	56	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	91	"H7"	NA	"Sample 56"	"BovineUXT"	"36.859"	36.859	56	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	1.448204084	28.06752281	200	90	2.222222222	14.03376141	"6315.192633"	3.800386602
"19"	57	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	8	"A8"	NA	"Sample 57"	"BovineUXT"	"Undetermined"	NA	57	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	NA	NA	200	90	2.222222222	NA	""	NA
"20"	58	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	20	"B8"	NA	"Sample 58"	"BovineUXT"	"Undetermined"	NA	58	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	NA	NA	200	90	2.222222222	NA	""	NA
"21"	59	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	32	"C8"	NA	"Sample 59"	"BovineUXT"	"38.695"	38.695	59	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	0.984624655	9.652163176	200	90	2.222222222	4.826081588	"2171.736715"	3.336807173
"22"	60	"2019-03-01BovineUXT"	"Bovine"	"3/1/19"	"2p16"	4.450249108	78.81317906	0.99356	-3.9619726	"CTjmp = 42.596315 - 3.9619726*LogCopy"	44	"D8"	NA	"Sample 60"	"BovineUXT"	"37.899"	37.899	60	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 42.596315 - 3.9619726*LogCopy"	1.185688128	15.33515353	200	90	2.222222222	7.667576766	"3450.409545"	3.537870647
"23"	88	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	50	"E2"	NA	"Sample 13"	"Total16S"	"22.815"	22.815	13	"B1"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	3.323698541	2107.164985	200	90	2.222222222	1053.582492	"474112.1216"	5.675881059
"24"	89	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	62	"F2"	NA	"Sample 14"	"Total16S"	"23.387"	23.387	14	"B1"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	3.175784436	1498.940646	200	90	2.222222222	749.4703231	"337261.6454"	5.527966955
"25"	92	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	3	"A3"	NA	"Sample 17"	"Total16S"	"24.588"	24.588	17	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.865657043	733.9340601	200	90	2.222222222	366.9670301	"165135.1635"	5.217839561
"26"	93	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	15	"B3"	NA	"Sample 18"	"Total16S"	"24.166"	24.166	18	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.974719798	943.451975	200	90	2.222222222	471.7259875	"212276.6944"	5.326902316
"27"	94	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	27	"C3"	NA	"Sample 19"	"Total16S"	"24.52"	24.52	19	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.883272223	764.3147189	200	90	2.222222222	382.1573594	"171970.8118"	5.235454741
"28"	95	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	39	"D3"	NA	"Sample 20"	"Total16S"	"24.318"	24.318	20	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.93538115	861.7497182	200	90	2.222222222	430.8748591	"193893.6866"	5.287563668
"29"	96	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	51	"E3"	NA	"Sample 21"	"Total16S"	"24.548"	24.548	21	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.875943035	751.5243124	200	90	2.222222222	375.7621562	"169092.9703"	5.228125553
"30"	97	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	63	"F3"	NA	"Sample 22"	"Total16S"	"24.322"	24.322	22	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.934223261	859.4552355	200	90	2.222222222	429.7276177	"193377.428"	5.28640578
"31"	98	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	75	"G3"	NA	"Sample 23"	"Total16S"	"24.184"	24.184	23	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.970025668	933.3094613	200	90	2.222222222	466.6547307	"209994.6288"	5.322208187
"32"	99	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	87	"H3"	NA	"Sample 24"	"Total16S"	"24.995"	24.995	24	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.76047149	576.0650001	200	90	2.222222222	288.0325001	"129614.625"	5.112654008
"33"	124	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	7	"A7"	NA	"Sample 49"	"Total16S"	"23.292"	23.292	49	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	3.200495749	1586.703388	200	90	2.222222222	793.3516941	"357008.2624"	5.552678267
"34"	125	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	19	"B7"	NA	"Sample 50"	"Total16S"	"23.799"	23.799	50	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	3.069339002	1173.110716	200	90	2.222222222	586.5553581	"263949.9112"	5.42152152
"35"	126	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	31	"C7"	NA	"Sample 51"	"Total16S"	"23.451"	23.451	51	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"Halogen"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	3.15933355	1443.223361	200	90	2.222222222	721.6116803	"324725.2561"	5.511516068
"36"	127	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	43	"D7"	NA	"Sample 52"	"Total16S"	"22.509"	22.509	52	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"Halogen"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	3.402583764	2526.87503	200	90	2.222222222	1263.437515	"568546.8819"	5.754766282
"37"	128	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	55	"E7"	NA	"Sample 53"	"Total16S"	"23.882"	23.882	53	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	3.048060952	1117.020007	200	90	2.222222222	558.5100037	"251329.5017"	5.40024347
"38"	129	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	67	"F7"	NA	"Sample 54"	"Total16S"	"24.13"	24.13	54	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.983841496	963.4773206	200	90	2.222222222	481.7386603	"216782.3972"	5.336024014
"39"	130	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	79	"G7"	NA	"Sample 55"	"Total16S"	"23.612"	23.612	55	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	3.1177688	1311.501524	200	90	2.222222222	655.7507621	"295087.843"	5.469951318
"40"	131	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	91	"H7"	NA	"Sample 56"	"Total16S"	"23.901"	23.901	56	"B2"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	3.043030789	1104.156894	200	90	2.222222222	552.0784471	"248435.3012"	5.395213307
"41"	132	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	8	"A8"	NA	"Sample 57"	"Total16S"	"24.772"	24.772	57	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.818017566	657.6844378	200	90	2.222222222	328.8422189	"147978.9985"	5.170200084
"42"	133	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	20	"B8"	NA	"Sample 58"	"Total16S"	"24.16"	24.16	58	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.976193026	946.6578191	200	90	2.222222222	473.3289096	"212998.0093"	5.328375545
"43"	134	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	32	"C8"	NA	"Sample 59"	"Total16S"	"24.399"	24.399	59	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.914415976	821.1376706	200	90	2.222222222	410.5688353	"184755.9759"	5.266598495
"44"	135	"2019-03-01Total16S"	"Total16S"	"3/1/19"	"2p17"	7	81.30005374	0.9962	-3.87	"CTjmp = 35.680964 - 3.8710714*LogCopies"	44	"D8"	NA	"Sample 60"	"Total16S"	"24.337"	24.337	60	"B2"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 35.680964 - 3.8710714*LogCopies"	2.930477615	852.0745918	200	90	2.222222222	426.0372959	"191716.7832"	5.282660133
"45"	163	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	50	"E2"	"Correct"	"Sample 13"	"Listeria-rpoB"	"27.155"	27.155	13	"B1"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.889066962	774.581218	200	90	2.222222222	387.29	"174,280.77"	5.24
"46"	164	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	62	"F2"	"Correct"	"Sample 14"	"Listeria-rpoB"	"27.707"	27.707	14	"B1"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.751065575	563.7227675	200	90	2.222222222	281.86	"126,837.62"	5.1
"47"	167	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	3	"A3"	"Correct"	"Sample 17"	"Listeria-rpoB"	"27.288"	27.288	17	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.855815868	717.4900253	200	90	2.222222222	358.75	"161,435.26"	5.21
"48"	168	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	15	"B3"	"Correct"	"Sample 18"	"Listeria-rpoB"	"26.85"	26.85	18	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.965093985	922.7711011	200	90	2.222222222	461.39	"207,623.50"	5.32
"49"	169	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	27	"C3"	"Correct"	"Sample 19"	"Listeria-rpoB"	"27.251"	27.251	19	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.865005979	732.834622	200	90	2.222222222	366.42	"164,887.79"	5.22
"50"	170	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	39	"D3"	"Correct"	"Sample 20"	"Listeria-rpoB"	"27.117"	27.117	20	"B1"	"Spiked"	"No"	"Yes"	"1x"	"PMA"	"Halogen"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.898555082	791.6898588	200	90	2.222222222	395.84	"178,130.22"	5.25
"51"	171	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	51	"E3"	"Correct"	"Sample 21"	"Listeria-rpoB"	"27.115"	27.115	21	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.898897911	792.3150603	200	90	2.222222222	396.16	"178,270.89"	5.25
"52"	172	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	63	"F3"	"Correct"	"Sample 22"	"Listeria-rpoB"	"26.955"	26.955	22	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.938863499	868.6873528	200	90	2.222222222	434.34	"195,454.65"	5.29
"53"	173	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	75	"G3"	"Correct"	"Sample 23"	"Listeria-rpoB"	"26.8"	26.8	23	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.977664707	949.8711707	200	90	2.222222222	474.94	"213,721.01"	5.33
"54"	174	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	87	"H3"	"Correct"	"Sample 24"	"Listeria-rpoB"	"27.667"	27.667	24	"B1"	"Spiked"	"No"	"Yes"	"10X"	"PMA"	"Halogen"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.760968523	576.7246622	200	90	2.222222222	288.36	"129,763.05"	5.11
"55"	199	"2019-03-01Listeria-rpoB"	"Listeria-rpoB"	"3/1/19"	"2p19"	6.210505044	77.82294842	0.99689	-4.0001951	"CTjmp = 38.711445 - 4.0001951*LogCopies"	7	"A7"	"Correct"	"Sample 49"	"Listeria-rpoB"	"27.417"	27.417	49	"B2"	"Spiked"	"No"	"Yes"	"No"	"PMA"	"BLUV"	NA	"CTjmp = 38.711445 - 4.0001951*LogCopies"	2.823495514	666.032642	200	90	2.222222222	333.02	"149,857.34"	5.18
